
Data_X,Data_Y,Angle,Label_X,Label_Y
-0.7745577245950699,-0.34512297809123993,-2.722769280040886,-0.7745577245950699,-0.34512297809123993
-0.7713417038321495,-0.34369033575057983,-2.7227383766561952,-0.7713417038321495,-0.34369033575057983
-0.7681899219751358,-0.342289462685585,-2.7227217154805747,-0.7681899219751358,-0.342289462685585
-0.7650560587644577,-0.3408929407596588,-2.7227092878857375,-0.7650560587644577,-0.3408929407596588
-0.7619316577911377,-0.33950579166412354,-2.7226907590481444,-0.7619316577911377,-0.33950579166412354
-0.7588808089494705,-0.33817270398139954,-2.7226341573350092,-0.7588808089494705,-0.33817270398139954
-0.7558226361870766,-0.33677437901496887,-2.722485714428442,-0.7558226361870766,-0.33677437901496887
-0.7527201250195503,-0.33538924157619476,-2.72247262852572,-0.7527201250195503,-0.33538924157619476
-0.7496428564190865,-0.3340207189321518,-2.7224083266788033,-0.7496428564190865,-0.3340207189321518
-0.7465813457965851,-0.3326592594385147,-2.722347707698629,-0.7465813457965851,-0.3326592594385147
-0.7436008304357529,-0.33134351670742035,-2.722306133923259,-0.7436008304357529,-0.33134351670742035
-0.7405068352818489,-0.32994964718818665,-2.722254872912919,-0.7405068352818489,-0.32994964718818665
-0.7374779731035233,-0.3286038190126419,-2.7221890258528925,-0.7374779731035233,-0.3286038190126419
-0.7344663068652153,-0.32726308703422546,-2.7221209736158065,-0.7344663068652153,-0.32726308703422546
-0.7314663678407669,-0.32592618465423584,-2.7220850766598703,-0.7314663678407669,-0.32592618465423584
-0.7284513860940933,-0.3246903121471405,-2.7220430943640896,-0.7284513860940933,-0.3246903121471405
-0.7254089191555977,-0.32333770394325256,-2.7219811638357196,-0.7254089191555977,-0.32333770394325256
-0.7224403768777847,-0.32201166450977325,-2.72197467155142,-0.7224403768777847,-0.32201166450977325
-0.719492070376873,-0.3207017481327057,-2.7219262777617277,-0.719492070376873,-0.3207017481327057
-0.7165530025959015,-0.31939639151096344,-2.7219020506614715,-0.7165530025959015,-0.31939639151096344
-0.7136557027697563,-0.3180874437093735,-2.7219168950385417,-0.7136557027697563,-0.3180874437093735
-0.7107245549559593,-0.31678009033203125,-2.7218835782676023,-0.7107245549559593,-0.31678009033203125
-0.7078195661306381,-0.31548972427845,-2.7218385740325584,-0.7078195661306381,-0.31548972427845
-0.7049278318881989,-0.31419870257377625,-2.7218369197940633,-0.7049278318881989,-0.31419870257377625
-0.7020522467792034,-0.3129265755414963,-2.721782666551132,-0.7020522467792034,-0.3129265755414963
-0.6992752552032471,-0.3116304874420166,-2.721787283682094,-0.6992752552032471,-0.3116304874420166
-0.69640251994133,-0.31035688519477844,-2.7217571241995833,-0.69640251994133,-0.31035688519477844
-0.6935584619641304,-0.3090926557779312,-2.721733822128546,-0.6935584619641304,-0.3090926557779312
-0.690727423876524,-0.30782434344291687,-2.7217543137033124,-0.690727423876524,-0.30782434344291687
-0.6879139728844166,-0.30656783282756805,-2.7217683740899488,-0.6879139728844166,-0.30656783282756805
-0.6851077377796173,-0.3053869307041168,-2.7217776424842643,-0.6851077377796173,-0.3053869307041168
-0.6822875812649727,-0.3040853589773178,-2.7218293537572764,-0.6822875812649727,-0.3040853589773178
-0.6794723868370056,-0.3028320372104645,-2.7218113846023315,-0.6794723868370056,-0.3028320372104645
-0.6766981817781925,-0.30159759521484375,-2.7218108064315776,-0.6766981817781925,-0.30159759521484375
-0.6739364191889763,-0.3003653883934021,-2.7218110119008747,-0.6739364191889763,-0.3003653883934021
-0.6711929701268673,-0.2991374582052231,-2.72181020177582,-0.6711929701268673,-0.2991374582052231
-0.6683997809886932,-0.2979353964328766,-2.7218029985914973,-0.6683997809886932,-0.2979353964328766
-0.665651485323906,-0.29671427607536316,-2.721810932208633,-0.665651485323906,-0.29671427607536316
-0.662934847176075,-0.2955057919025421,-2.7217516369258523,-0.662934847176075,-0.2955057919025421
-0.6603095903992653,-0.2943214029073715,-2.7217124935019523,-0.6603095903992653,-0.2943214029073715
-0.6576173380017281,-0.29308202862739563,-2.721784241877735,-0.6576173380017281,-0.29308202862739563
-0.6549276821315289,-0.29188263416290283,-2.7217624601616572,-0.6549276821315289,-0.29188263416290283
-0.6523441299796104,-0.29067742824554443,-2.7217225534962295,-0.6523441299796104,-0.29067742824554443
-0.6496677100658417,-0.28948891162872314,-2.7216988255149057,-0.6496677100658417,-0.28948891162872314
-0.6470126286149025,-0.2883093059062958,-2.721671975418717,-0.6470126286149025,-0.2883093059062958
-0.6443722285330296,-0.28713318705558777,-2.721675888832432,-0.6443722285330296,-0.28713318705558777
-0.6417428776621819,-0.2859615087509155,-2.7216604140476215,-0.6417428776621819,-0.2859615087509155
-0.6392346061766148,-0.2847757339477539,-2.7216628859403897,-0.6392346061766148,-0.2847757339477539
-0.6366031672805548,-0.28360140323638916,-2.7216244746153078,-0.6366031672805548,-0.28360140323638916
-0.6340018175542355,-0.28244075179100037,-2.721616149597117,-0.6340018175542355,-0.28244075179100037
-0.6314137671142817,-0.2812901437282562,-2.721584230426446,-0.6314137671142817,-0.2812901437282562
-0.6288367547094822,-0.28013867139816284,-2.721590901000719,-0.6288367547094822,-0.28013867139816284
-0.6262776274234056,-0.2789931297302246,-2.7215679647661353,-0.6262776274234056,-0.2789931297302246
-0.6237173229455948,-0.2778471112251282,-2.7215528287499384,-0.6237173229455948,-0.2778471112251282
-0.621173894032836,-0.2767147421836853,-2.7215596132854523,-0.621173894032836,-0.2767147421836853
-0.6186394300311804,-0.27558934688568115,-2.7215212826224033,-0.6186394300311804,-0.27558934688568115
-0.6161791477352381,-0.27449917793273926,-2.72152327546342,-0.6161791477352381,-0.27449917793273926
-0.6136476788669825,-0.2734273076057434,-2.720781463387635,-0.6136476788669825,-0.2734273076057434
-0.6111104600131512,-0.272300660610199,-2.7207825622320154,-0.6111104600131512,-0.272300660610199
-0.6086210012435913,-0.2711886167526245,-2.720788965747664,-0.6086210012435913,-0.2711886167526245
-0.606138164177537,-0.27008405327796936,-2.720738796509627,-0.606138164177537,-0.27008405327796936
-0.6036734208464622,-0.2689878046512604,-2.7207060995310988,-0.6036734208464622,-0.2689878046512604
-0.6012367317453027,-0.26792991161346436,-2.7207266932154472,-0.6012367317453027,-0.26792991161346436
-0.5987693313509226,-0.2668267488479614,-2.7206948596172915,-0.5987693313509226,-0.2668267488479614
-0.5963322725147009,-0.2657352089881897,-2.720667171006754,-0.5963322725147009,-0.2657352089881897
-0.5939049497246742,-0.2646513283252716,-2.720661836460711,-0.5939049497246742,-0.2646513283252716
-0.5915645072236657,-0.2635754942893982,-2.7206567678757962,-0.5915645072236657,-0.2635754942893982
-0.5891452697105706,-0.2624720335006714,-2.7206228891166093,-0.5891452697105706,-0.2624720335006714
-0.5867426386103034,-0.2613986134529114,-2.7206119877492583,-0.5867426386103034,-0.2613986134529114
-0.5843509375117719,-0.2603232264518738,-2.7206472086780056,-0.5843509375117719,-0.2603232264518738
-0.5819704358000308,-0.2592594623565674,-2.7206144784430375,-0.5819704358000308,-0.2592594623565674
-0.5797092264983803,-0.25818192958831787,-2.7206056037337922,-0.5797092264983803,-0.25818192958831787
-0.5773153090849519,-0.2571185827255249,-2.7205710867774364,-0.5773153090849519,-0.2571185827255249
-0.5749557750532404,-0.2560625672340393,-2.720587109498073,-0.5749557750532404,-0.2560625672340393
-0.572613553609699,-0.2550210654735565,-2.7205714591683097,-0.572613553609699,-0.2550210654735565
-0.5702778836712241,-0.2539826035499573,-2.7205655732782965,-0.5702778836712241,-0.2539826035499573
-0.5679534575901926,-0.2529386878013611,-2.7205803337527854,-0.5679534575901926,-0.2529386878013611
-0.5656385035254061,-0.25196734070777893,-2.721219523949669,-0.5656385035254061,-0.25196734070777893
-0.5632209992036223,-0.2508888244628906,-2.721215725072998,-0.5632209992036223,-0.2508888244628906
-0.5609189886599779,-0.24986249208450317,-2.721186697985371,-0.5609189886599779,-0.24986249208450317
-0.5586306769400835,-0.24884098768234253,-2.7211889301987124,-0.5586306769400835,-0.24884098768234253
